time,reaction_force_z,top_disp_z,vonmises_max
0,0,0,0
0.05,8.3587005684289e-06,-0.00015,1647976.5482502
0.1,-2.9542413540165e-06,-0.0003,3230259.1291371
0.15,-1.6067401446366e-06,-0.00045,3500000
0.2,-2.5660792934978e-06,-0.0006,3500000
0.25,4.9690346687954e-05,-0.00075,3500000
0.3,9.9951442061258e-07,-0.00090000000000001,3500000
0.35,-1.5274575091182e-05,-0.00105,3500000
0.4,-6.8493195806399e-07,-0.0012,3500000
0.45,7.9135258782929e-05,-0.00135,3500000
0.5,2.7073472371371e-05,-0.0015,3500000
0.55,1.1507670569541e-05,-0.00165,3500000
0.6,1.1713929171098e-05,-0.0018,3500000
0.65,1.102023888317e-05,-0.00195,3500000
0.7,8.3296929317042e-06,-0.0021,3500000
0.75,7.0552837633859e-06,-0.00225,3500000
0.8,1.6727320306664e-06,-0.0024,3500000
0.85,6.4120303424867e-06,-0.00255,3500000
0.9,5.6199757193633e-06,-0.0027,3500000
0.95,4.8658128551063e-06,-0.00285,3500000
1,4.6753289129065e-06,-0.003,3500000
