time,center_sigma_x,top_disp,top_reaction_y
0,0,0,0
0.05,-1330.5254708008,-5e-06,-91946.939812694
0.1,-2661.050996684,-1e-05,-183893.8796329
0.15,-3991.5765225674,-1.5e-05,-275840.8194531
0.2,-5322.1020484507,-2e-05,-367787.7592733
0.25,-6652.6275743341,-2.5e-05,-459734.69909351
0.3,-7983.1531002178,-3e-05,-551681.63891371
0.35,-9313.6786261009,-3.5e-05,-643628.57873391
0.4,-10644.204151985,-4e-05,-735575.51855412
0.45,-11974.729677869,-4.5e-05,-827522.45837432
0.5,-13305.255203751,-5e-05,-919469.39819452
0.55,-14635.780729635,-5.5e-05,-1011416.3380147
0.6,-15966.306255518,-6e-05,-1103363.2778349
0.65,-17296.831781403,-6.5e-05,-1195310.2176551
0.7,-18627.357307285,-7e-05,-1287257.1574753
0.75,-19957.882833168,-7.5e-05,-1379204.0972955
0.8,-21288.408359051,-8e-05,-1471151.0371157
0.85,-22618.933884936,-8.5e-05,-1563097.9769359
0.9,-23949.459410819,-9e-05,-1655044.9167561
0.95,-25279.984936702,-9.5e-05,-1746991.8565763
1,-26610.510462585,-0.0001,-1838938.7963966
