time,center_sigma_x,top_disp,top_reaction_y
0,0,0,0
0.05,19.541839330516,-5e-06,-30470.439315007
0.1,39.083687836747,-1e-05,-60940.878610355
0.15,58.625536342964,-1.5e-05,-91411.317905704
0.2,78.167384847843,-2e-05,-121881.75720105
0.25,97.709233352408,-2.5e-05,-152352.1964964
0.3,117.25108186018,-3e-05,-182822.63579175
0.35,136.79293036378,-3.5e-05,-213293.07508709
0.4,156.33477887148,-4e-05,-243763.51438245
0.45,175.87662738,-4.5e-05,-274233.95367779
0.5,195.41847588548,-5e-05,-304704.39297314
0.55,214.96032438928,-5.5e-05,-335174.83226849
0.6,234.50217289116,-6e-05,-365645.27156383
0.65,254.04402139866,-6.5e-05,-396115.71085919
0.7,273.58586990302,-7e-05,-426586.15015453
0.75,293.12771841037,-7.5e-05,-457056.58944989
0.8,312.66956692231,-8e-05,-487527.02874523
0.85,332.21141542034,-8.5e-05,-517997.46804058
0.9,351.75326393218,-9e-05,-548467.90733592
0.95,371.29511243906,-9.5e-05,-578938.34663128
1,390.83696094043,-0.0001,-609408.78592662
