time,damage_max,load_disp_x,vonmises_max
0,0,0,0
0.2,0,3.2,18.879899880788
0.4,0,6.4,37.736965697869
0.6,0,9.5999999999999,56.57195686649
0.8,0,12.8,75.384960235651
1,0,16,94.176043444189
1.2,0.01,12.8,75.688290730096
1.4,0.02,9.5999999999999,57.73572971198
1.6,0.03,6.4,40.395254506255
1.8,0.04,3.2,23.172423218867
2,0.05,3.5527136788005e-15,6.8174586299268
2.2,0.064,-3.2,23.131093434636
2.4,0.078,-6.4,40.028353059636
2.6,0.092,-9.5999999999999,56.750287423266
2.8,0.106,-12.8,73.284021669018
3,0.12,-16,89.623186060661
3.2,0.132,-12.8,72.732217656746
3.4,0.144,-9.5999999999999,55.984035715955
3.6,0.156,-6.4,39.383813080978
3.8,0.168,-3.2,22.943565899454
4,0.18,1.7763568394003e-14,7.60563877809
4.2,0.204,4,26.903309011492
4.4,0.228,8,46.707484112468
4.6,0.252,12,66.058975021713
4.8,0.276,16,84.929725275571
5,0.3,20,103.2967022434
5.2,0.316,16,83.617483458537
5.4,0.332,12,64.23063360831
5.6,0.348,8,45.147513421487
5.8,0.364,4,26.386745846869
6,0.38,-5.3290705182008e-14,9.3466625557467
6.2,0.408,-4,26.246235090428
6.4,0.436,-8,43.908055135978
6.6,0.464,-12,60.883177475959
6.8,0.492,-16,77.119825637463
7,0.52,-20,92.567203731367
7.2,0.54,-16,75.087031443756
7.4,0.56,-12,58.11857432762
7.6,0.58,-8,41.69279349957
7.8,0.6,-3.9999999999999,25.849765604304
8,0.62,0,13.243854146067
