id,centerline_path
0,1.000000000000e+00
1,9.999999999750e-01
2,9.999999999500e-01
3,9.999999999250e-01
4,9.999999999000e-01
5,9.999999998750e-01
6,9.999999998500e-01
7,9.999999998250e-01
8,9.999999998000e-01
9,9.999999997750e-01
10,9.999999997500e-01
11,9.999999997250e-01
12,9.999999997000e-01
13,9.999999996750e-01
14,9.999999996500e-01
15,9.999999996250e-01
16,9.999999996000e-01
17,9.999999995750e-01
18,9.999999995500e-01
19,9.999999995250e-01
20,9.999999995000e-01
21,9.999999994750e-01
22,9.999999994500e-01
23,9.999999994250e-01
24,9.999999994000e-01
25,9.999999993750e-01
26,9.999999993500e-01
27,9.999999993250e-01
28,9.999999993000e-01
29,9.999999992750e-01
30,9.999999992500e-01
31,9.999999992250e-01
32,9.999999992000e-01
33,9.999999991750e-01
34,9.999999991500e-01
35,9.999999991250e-01
36,9.999999991000e-01
37,9.999999990750e-01
38,9.999999990500e-01
39,9.999999990250e-01
40,9.999999990000e-01
41,9.749999990250e-01
42,9.499999990500e-01
43,9.249999990750e-01
44,8.999999991000e-01
45,8.749999991250e-01
46,8.499999991500e-01
47,8.249999991750e-01
48,7.999999992000e-01
49,7.749999992250e-01
50,7.499999992500e-01
51,7.249999992750e-01
52,6.999999993000e-01
53,6.749999993250e-01
54,6.499999993500e-01
55,6.249999993750e-01
56,5.999999994000e-01
57,5.749999994250e-01
58,5.499999994500e-01
59,5.249999994750e-01
60,4.999999995000e-01
61,4.749999995250e-01
62,4.499999995500e-01
63,4.249999995750e-01
64,3.999999996000e-01
65,3.749999996250e-01
66,3.499999996500e-01
67,3.249999996750e-01
68,2.999999997000e-01
69,2.749999997250e-01
70,2.499999997500e-01
71,2.249999997750e-01
72,1.999999998000e-01
73,1.749999998250e-01
74,1.499999998500e-01
75,1.249999998750e-01
76,9.999999990000e-02
77,7.499999992500e-02
78,4.999999995000e-02
79,2.499999997500e-02
80,-1.110223024625e-16
