time,shear_max,top_disp_x,top_reaction_x
0,0,0,0
0.05,26144.971435156,2.5e-05,17219.804107208
0.1,52289.942858636,5e-05,34439.60820819
0.15,78434.914282114,7.5e-05,51659.412309171
0.2,104579.8857056,9.9999999999999e-05,68879.216410152
0.25,130724.85712908,0.000125,86099.020511134
0.3,156869.82855256,0.00015,103318.82461212
0.35,183014.79997604,0.000175,120538.6287131
0.4,209159.77139952,0.0002,137758.43281408
0.45,235304.742823,0.000225,154978.23691506
0.5,261449.71424648,0.00025,172198.04101604
0.55,287594.68566995,0.000275,189417.84511702
0.6,313739.65709344,0.0003,206637.649218
0.65,339884.62851691,0.000325,223857.45331899
0.7,366029.5999404,0.00035,241077.25741997
0.75,392174.57136387,0.000375,258297.06152095
0.8,418319.54278735,0.0004,275516.86562193
