x,potential
-0.100000,1.000002483571e+00
-0.097500,9.999993086535e-01
-0.095000,1.000003238393e+00
-0.092500,1.000007615074e+00
-0.090000,9.999988291331e-01
-0.087500,9.999988291902e-01
-0.085000,1.000007895914e+00
-0.082500,1.000003836999e+00
-0.080000,9.999976524281e-01
-0.077500,1.000002712575e+00
-0.075000,9.999976826615e-01
-0.072500,9.999976710762e-01
-0.070000,1.000001209511e+00
-0.067500,9.999904332738e-01
-0.065000,9.999913750608e-01
-0.062500,9.999971881874e-01
-0.060000,9.999949354444e-01
-0.057500,1.000001570812e+00
-0.055000,9.999954594296e-01
-0.052500,9.999929380065e-01
-0.050000,1.000007327744e+00
-0.047500,9.999988705935e-01
-0.045000,1.000000337091e+00
-0.042500,9.999928756841e-01
-0.040000,9.999972774864e-01
-0.037500,1.000000553988e+00
-0.035000,9.999942443821e-01
-0.032500,1.000001877815e+00
-0.030000,9.999969961066e-01
-0.027500,9.999985408063e-01
-0.025000,9.999969907169e-01
-0.022500,1.000009260616e+00
-0.020000,9.999999317139e-01
-0.017500,9.999947106204e-01
-0.015000,1.000004111875e+00
-0.012500,9.999938949068e-01
-0.010000,1.000001043418e+00
-0.007500,9.999902007244e-01
-0.005000,9.999933581198e-01
-0.002500,1.000000983331e+00
0.000000,1.000003691333e+00
0.002500,9.750008558664e-01
0.005000,9.499994208086e-01
0.007500,9.249984935565e-01
0.010000,8.999926064900e-01
0.012500,8.749963999040e-01
0.015000,8.499976959561e-01
0.017500,8.250052847861e-01
0.020000,8.000017172914e-01
0.022500,7.749911840242e-01
0.025000,7.500016196698e-01
0.027500,7.249980738636e-01
0.030000,6.999966146900e-01
0.032500,6.750030577064e-01
0.035000,6.500051543476e-01
0.037500,6.250046557756e-01
0.040000,5.999958033124e-01
0.042500,5.749984533631e-01
0.045000,5.500016557672e-01
0.047500,5.250048772006e-01
0.050000,4.999976036288e-01
0.052500,4.749990712301e-01
0.055000,4.499944678751e-01
0.057500,4.249940185419e-01
0.060000,4.000040622291e-01
0.062500,3.750067808251e-01
0.065000,3.499996395994e-01
0.067500,3.250050173395e-01
0.070000,3.000018078801e-01
0.072500,2.749967741262e-01
0.075000,2.500018067280e-01
0.077500,2.250076899578e-01
0.080000,1.999998206698e-01
0.082500,1.750078230433e-01
0.085000,1.499869011245e-01
0.087500,1.250041093875e-01
0.090000,1.000004351353e-01
0.092500,7.499850488825e-02
0.095000,5.000045875388e-02
0.097500,2.499006213043e-02
0.100000,-1.098359439299e-06
