time,base_shear_x,damage_c_max,damage_t_max,damage_total_max,mid_vonmises,top_disp_x,top_disp_y
0,0,0,0,0,0,0,0
4,-289776.13320531,0,0.97846463421754,0.97846463421754,880318.76908332,-0.00393,0.00097237539489437
8,-96591.941034779,0,0.8853572530377,0.8853572530377,535466.34970062,-0.00131,0.00097237555285758
12,96591.983427307,0,0.88535729048232,0.88535729048232,542296.18754641,0.00131,0.00097237551308402
16,289776.17596426,0,0.97846472389309,0.97846472389309,892772.18811059,0.00393,0.00097237545183199
20,481964.1242519,0.16403844072856,0.99025101607901,0.99025101607901,1338792.5665858,0.00655,0.00097456854507268
24,288781.30717002,0,0.962337714798,0.962337714798,892075.64330611,0.00393,0.00097456884050553
28,95596.153519477,0,0.84367778907744,0.84367778907744,542973.6394241,0.00131,0.00097456853995847
32,-97587.852274501,0,0.88795625708671,0.88795625708671,537998.43374105,-0.00131,0.00097456861195028
36,-290762.67350821,0,0.97879309856308,0.97879309856308,882960.25822701,-0.00393,0.00097455343269237
40,-653242.87097873,0.42499124393183,0.9928028042383,0.9928028042383,1755380.3770652,-0.009,0.0009916791222032
