time,base_shear_x,damage_c_max,damage_t_max,damage_total_max,top_disp_x,top_disp_y
0,0,0,0,0,0,0
4,-248333.78040477,0,0.9697033827528,0.9697033827528,-0.00393,0.0011201449434411
8,-82713.365457154,0,0.85643695744004,0.85643695744004,-0.00131,0.0011201451005714
12,82906.318915477,0,0.87593653037584,0.87593653037584,0.00131,0.0011201450292013
16,248430.6349674,0,0.96970113159266,0.96970113159266,0.00393,0.0011204067833678
20,409949.2202628,0,0.97906037817465,0.97906037817465,0.00655,0.0011308735386468
24,244327.55680755,0,0.93067227838942,0.93067227838942,0.00393,0.0011308736266028
28,78708.410487121,0,0.8021362308169,0.8021362308169,0.00131,0.0011308736910617
32,-86911.458653644,0,0.88889142839288,0.88889142839288,-0.00131,0.0011308734835006
36,-252148.14247026,0,0.9695962307394,0.9695962307394,-0.00393,0.0011307994099271
40,-543480.06397006,0.067121706575096,0.98383760662652,0.98383760662652,-0.009,0.0011813168785052
