time,base_shear_x,top_disp_x,vonmises_max
0,0,0,0
5,-342161.19066767,-0.0046315494167719,2747116.2329401
10,0.38192465964484,-4.0107182672076e-19,552994.70118283
15,342161.26841764,0.0046315494167719,2747117.0825353
20,483312.85699263,0.00655,3438352.4961287
25,341583.1876988,0.0046315494167719,2529578.9687754
30,-576.8099250389,1.2032154801623e-18,552512.4386213
35,-342736.87100411,-0.0046315494167719,2746625.8207828
40,-656548.20873541,-0.009,3500000
45,-461810.19774592,-0.0063639610306789,2598789.4907531
50,8336.007736042,-2.7554552980815e-18,880003.01957935
55,476150.03175143,0.0063639610306789,3388285.5449991
60,659469.43058631,0.009,3500000
65,464728.66553234,0.0063639610306789,2598805.3636711
70,-5415.0123798801,3.8576374173142e-18,885265.8981249
75,-473223.39314517,-0.0063639610306789,3356124.5254165
80,-947758.43733052,-0.0144,3500000
85,-866780.24536685,-0.013303865268163,3277511.07357
90,-636173.63779996,-0.010182337649086,2647663.7563972
95,-291047.00671511,-0.0055106414260573,1774337.5862429
100,114297.73749662,-4.4087284769305e-18,3265648.740065
105,498093.95570267,0.0055106414260573,3500000
110,772522.31225574,0.010182337649086,3500000
115,918517.77860126,0.013303865268163,3500000
120,960696.82581688,0.0144,3500000
125,879720.67130775,0.013303865268163,3277430.0549323
130,649111.4353666,0.010182337649086,2647264.6983588
135,303984.08291807,0.0055106414260573,1774277.5836151
140,-100840.66570639,6.1722198677027e-18,3389105.8525251
145,-484174.96518626,-0.0055106414260573,3500000
150,-760241.7881469,-0.010182337649086,3500000
155,-911609.85539007,-0.013303865268163,3500000
160,-958161.09205003,-0.0144,3500000
