time,base_shear_x,damage_c_max,damage_t_max,damage_total_max,top_disp_x,top_disp_y,top_rotation
0,0,0,0,0,0,0,0
4,-246723.49419348,0,0.96995893893741,0.96995893893741,-0.00393,0.0011420519243773,-0.00393
8,-82241.410341129,0,0.86640123017911,0.86640123017911,-0.00131,0.0011420514246703,-0.00131
12,82241.0811146,0,0.86640157451365,0.86640157451365,0.00131,0.0011420516968073,0.00131
16,246723.63258607,0,0.96995908471916,0.96995908471916,0.00393,0.0011420517498988,0.00393
20,410959.12037749,0,0.98865357228052,0.98865357228052,0.00655,0.0011427092130021,0.00655
24,246476.80684135,0,0.9606126093622,0.9606126093622,0.00393,0.0011427091615615,0.00393
28,81994.318255587,0,0.83537119176855,0.83537119176855,0.00131,0.0011427093573432,0.00131
32,-82488.192429076,0,0.86632653681192,0.86632653681192,-0.00131,0.0011427091659071,-0.00131
36,-246970.55495897,0,0.96994681810762,0.96994681810762,-0.00393,0.0011427092039475,-0.00393
40,-561683.86207845,0.35370814041904,0.99154120901762,0.99154120901762,-0.009,0.0011501855954078,-0.009
